username	current_location	residence	job	name	mail	blood_group	address	ssn	registration	user_id	company	station_ID
barsantimattia	(Decimal('-68.192372'), Decimal('-8.327025'))		Nurse, learning disability	Dott. Pierluigi Chinnici	pellegrino83@libero.it	AB+	"Vicolo Lerner, 593 Appartamento 22
10125, Torino (TO)"	TSCGRL88M04L075S	23 Feb 2021	74	Papafava s.r.l.	238
fabiasemitecolo	(Decimal('3.868262'), Decimal('-143.422415'))			Annetta Ortolani	foconitelemaco@alice.it	A-	"Via Adele, 40
95035, Maletto (CT)"	BRSRST51M60I409Y	11 Aug 2021	72	Chiappetta, Riccati e Bernardi s.r.l.	341
heloisacampos	(Decimal('-27.4527045'), Decimal('-53.579783'))		Topógrafo	Henrique Silva	cauecamara@bol.com.br	B+	"Aeroporto da Rocha, 11
Venda Nova
06929456 Novais / PA"	03956871286	2024-07-31	1424	Cunha	90
unakajima	(Decimal('-21.5335745'), Decimal('121.259317'))			加藤 亮介	naotoyamashita@yahoo.com	O+	新潟県青梅市氏家27丁目12番14号 アーバン藤金986	367-65-1775	08/21/2020, 00:00:00	616	井上電気合同会社	593
melissa59	(Decimal('29.2039325'), Decimal('70.727688'))			Nicole George	bowersfelicia@hotmail.com	O-	"20327 Welch Roads Apt. 730
North Scottmouth, MI 87176"	533-77-3039	2023/08/08	1856	Rodriguez, Hubbard and Brown	8
campisevirgilio	(Decimal('71.876889'), Decimal('-78.323896'))			Ida Morabito	ugolinozoppetti@outlook.com	B+	"Canale Nedda, 798
38078, Moline (TN)"	FRZDMC33P46L660L	04/28/2024, 00:00:00	149	Solimena-Bevilacqua Group	47
patelmadeline	(Decimal('2.523717'), Decimal('-70.148113'))			Colleen Moreno	ckhan@yahoo.com	O+	"83021 Holden Lodge
Deborahville, KS 07414"	860-75-1762	27 Jun 2025	987	Ward-York	294
berenice88	(Decimal('73.518399'), Decimal('174.570005'))			Isabella Praga	wcocci@alice.it	A-	"Borgo Berengario, 718 Piano 8
98071, Capo D'Orlando (ME)"	PRGGRN96P30F098A	24 Feb 2022	504	Palladio, Ponti e Trevisani s.r.l.	493
duartemiguel	(Decimal('72.451719'), Decimal('-120.174911'))		Afiador de ferramentas	Beatriz da Luz	da-luzbenjamim@gmail.com	AB-	"Rodovia Igor Pastor, 93
Lajedo
38103-954 Costa / MG"	32018675940	14 Jan 2021	992	Moura e Filhos	514
dunjaschleich	(Decimal('49.183928'), Decimal('33.732347'))		Mechaniker	Dr. Sibel Bender	bscholl@googlemail.com	B+	"Hartunggasse 4
42760 Lörrach"	944-81-6762	2019-08-26	63	Wirth	711
cardanopietro	(Decimal('13.841957'), Decimal('-10.285932'))			Giosuè Bazzi	reggeannalisa@fastwebnet.it	AB-	"Via Guinizzelli, 35 Appartamento 67
54027, Cervara (MS)"	NCLVNN33M17D147U	2021-08-06	1257	Sauro SPA	486
tizianapigafetta	(Decimal('68.4304325'), Decimal('79.760157'))			Augusto Sbarbaro	ottonebrancaccio@libero.it	A-	"Borgo Diana, 5
08046, Perdasdefogu (NU)"	PRNLDC49P69D100I	2022/11/02	2148	Tarantini Group	457
melinapapafava	(Decimal('6.6227375'), Decimal('148.025102'))			Dott. Benedetto Frescobaldi	vrossini@tele2.it	A+	"Viale Majewski, 7 Appartamento 84
31049, San Vito Di Valdobbiadene (TV)"	TSOMRN40P45E906P	07/08/2025, 00:00:00	493	Praga-Benedetti s.r.l.	349
niccoloagnesi	(Decimal('60.345417'), Decimal('-19.388598'))			Maria Bignami-Cicala	evaredi@tiscali.it	AB-	"Rotonda Lippomano, 45
90149, Palermo (PA)"	SSNNNS94S12H657G	2024/07/07	687	Prodi e figli	338
caironigianmarco	(Decimal('27.7724445'), Decimal('-7.944673'))			Alina Cagnin	rnugnes@tiscali.it	B-	"Stretto Evangelista, 2 Piano 0
04010, Roccasecca Dei Volsci (LT)"	BNDCML74P05C319P	2023-05-13	746	Grimani-Sansoni s.r.l.	700
yamashitataichi	(Decimal('88.018273'), Decimal('110.739164'))			高橋 裕美子	jogawa@hotmail.com	O+		622-56-0243	2022/06/08	717	渡辺農林合同会社	664
naokosasaki	(Decimal('0.3744815'), Decimal('-36.464957'))			後藤 裕美子	nsuzuki@yahoo.com	B-	北海道横浜市神奈川区鳥越20丁目9番13号 アーバン羽折町546	018-09-1259	2023-11-22	1452	合同会社西村印刷	259
vnakajima	(Decimal('73.415496'), Decimal('-156.968567'))			木村 結衣	pyamazaki@yahoo.com	B-	宮城県板橋区土呂部2丁目6番3号	600-72-4364	10/26/2024, 00:00:00	710	岡田通信合同会社	218
sayuri24	(Decimal('-30.3375255'), Decimal('136.641927'))		音楽家	森 さゆり	qsuzuki@yahoo.com	O-	栃木県文京区土沢36丁目22番7号 コート平河町375	359-40-4741	2021-07-23	1198	青木情報合同会社	544
lmoore	(Decimal('-49.091411'), Decimal('146.316590'))		Journalist, broadcasting	Larry Stark	bobbyholmes@gmail.com	B-	"0725 Simon Keys
North Brandonfort, FM 36964"	327-27-4118	2020-07-17	670	Turner, Clark and Mendez	540
ugo77	(Decimal('29.893784'), Decimal('-135.573453'))			Fortunata Jilani	gabriella03@fastwebnet.it	A+		MNDDNL73S24F594V	2025/08/16	1099	Tosto-Berengario Group	63
williamthomas	(Decimal('-13.259571'), Decimal('-12.474313'))		Statistician	Lindsey Horn	silvaalexis@gmail.com	B+	"0578 Flores Keys Suite 363
Coffeymouth, MP 68240"	509-12-9226	2025-06-08	1891	Webb-Brewer	648
mherrera	(Decimal('-44.548959'), Decimal('-17.692174'))		Commissioning editor	Erica Hart DDS	jamiedavid@yahoo.com	A+	"123 Michael Greens
Lake Jessicamouth, AZ 80810"	257-97-8686	01/21/2022, 00:00:00	132	Bishop, Kelley and Sanchez	91
shannon27	(Decimal('-4.0489475'), Decimal('-86.709245'))			Michael Vaughan	philip82@hotmail.com	AB-	"66925 Michael Avenue Apt. 655
Port Hannah, WY 14421"	217-72-1852	2022/06/05	2157	Brown, Smith and Doyle	223
ryohei27	(Decimal('-39.1226465'), Decimal('-22.409181'))		占い師	池田 治	yumikohashimoto@gmail.com	A+		122-04-3860	2021/04/04	89	田中印刷有限会社	188
costelanicolas				Leonardo da Costa	bentoporto@hotmail.com	A+		24961308560	2019/08/07	495	Brito Casa Grande - EI	225
tiffany02	(Decimal('88.008963'), Decimal('100.065074'))			Kristen Powers	jason17@yahoo.com	AB+	"45797 Phillips Meadow Suite 280
Odomhaven, TX 12755"	338-69-3040	10 Apr 2021	879	Gutierrez, Wilson and Trujillo	21
ingolfbender	(Decimal('45.757322'), Decimal('-169.782664'))			Claus-Dieter Seip	xkeudel@hotmail.de	B-		676-86-5037	2024/12/01	54	Hartmann	129
brookscorey	(Decimal('51.705455'), Decimal('160.722220'))		Accountant, chartered certified	Michael Smith	angelamendoza@yahoo.com	A-	"53947 Ward Shoals
Braytown, CT 33505"	202-26-6911	2024-03-09	672	Wilson-Smith	594
icasa-grande	(Decimal('-4.195655'), Decimal('171.385873'))		Governanta	Maria Alice Castro	apereira@uol.com.br	AB+	"Morro Luiz Fernando da Cunha, 17
Vila Puc
96408-513 da Cunha / MS"	10324957661	2019-01-08	573	Santos	261
minoru10	(Decimal('45.101678'), Decimal('-113.980502'))			山下 洋介	xfukuda@hotmail.com	AB-	北海道西多摩郡瑞穂町土沢4丁目4番2号	299-97-8318	13 Oct 2021	429	合同会社伊藤ガス	375
jnakagawa	(Decimal('-9.399050'), Decimal('43.778558'))			小川 直樹	watanabesatomi@yahoo.com	A+	山形県杉並区日光13丁目3番2号 コーポ中鉢石町563	165-54-3538	07 Apr 2023	1507	伊藤電気合同会社	38
jun48	(Decimal('67.592573'), Decimal('91.277508'))			坂本 加奈	kobayashinaoko@gmail.com	B+		873-98-9145	08/30/2019, 00:00:00	1145	前田電気株式会社	513
loosfranz-peter	(Decimal('-70.6347725'), Decimal('-5.933225'))			Ing. Henning Liebelt B.Eng.	patrickgutknecht@yahoo.de	AB-	"Austermühlegasse 20/26
45983 Pößneck"	919-96-3438	23 Apr 2021	1274	Aumann GmbH	419
xgomes	(Decimal('73.0713845'), Decimal('46.212872'))			Kevin Machado	maria-sophia54@bol.com.br	A+		48536109289	08/29/2020, 00:00:00	199	Andrade	212
edruso	(Decimal('-75.923845'), Decimal('-86.391073'))		Occupational therapist	Arturo Chechi-Tassoni	albertinisonia@tele2.it	O+		TBLSLV71S52I831C	2025/04/12	424	Costanzi, Aloisio e Buscetta Group	208
irmengardrogner	(Decimal('-79.108439'), Decimal('-167.199867'))			Edelgard Rosemann-Bonbach	gisbert74@gmail.com	B+	"Wilmsstr. 92/54
45489 Jessen"	235-53-7226	2024-12-08	748	Ruppersberger	452
gerald24	(Decimal('29.693679'), Decimal('-165.242991'))			Alexander Wade	coffeydakota@yahoo.com	AB+		013-16-7347	10/04/2023, 00:00:00	1611	Brown-Reyes	339
nadametz	(Decimal('-56.096276'), Decimal('27.677000'))			Benno Krein	pseip@gmx.de	O-	"Mitschkeplatz 9/8
94660 Delitzsch"	569-53-4179	02/20/2019, 00:00:00	988	Schaaf Gierschner AG	411
otavioaragao	(Decimal('-60.790843'), Decimal('116.042498'))			Bianca Leão	enzo-gabrielbarbosa@uol.com.br	AB+	"Vereda de Novaes, 61
Camponesa 2ª Seção
91371097 Fernandes / ES"	42618539737	2022/09/10	523	Pacheco Costela S/A	22
rsilveira	(Decimal('47.8415365'), Decimal('128.628291'))			Dra. Alana Pires	hpacheco@gmail.com	O+	"Travessa da Cruz, 96
Nossa Senhora Da Aparecida
57951-866 Barbosa / PR"	49816570300	07/07/2025, 00:00:00	1862	Rios	604
zfischer	(Decimal('-25.658384'), Decimal('-33.880676'))			Dan Kraushaar	anna-luisebolander@gmx.de	A+	"Susanna-Rose-Gasse 12
71360 Düren"	056-64-4181	2023-05-05	1267	Jockel KGaA	612
sikeda	(Decimal('23.1733355'), Decimal('76.428836'))		営業	中島 涼平	tyamashita@gmail.com	O-		206-30-7001	03/03/2022, 00:00:00	874	有限会社渡辺農林	736
htlustek	(Decimal('-26.999611'), Decimal('72.165240'))		Chirurgiemechaniker	Claudio Gehringer	krohleder@yahoo.de	O+	"Tanja-Beyer-Ring 99/53
12930 Teterow"	439-74-7855	2025/07/23	1651	Reising KGaA	732
pmacedo	(Decimal('-84.988962'), Decimal('-151.503769'))			Ana Vitória Sampaio	rgarcia@ig.com.br	B-	"Condomínio de Novaes, 90
Graça
21526905 Camargo / MS"	27534160952	2024-05-18	71	Machado Garcia - ME	91
hasegawachiyo	(Decimal('-79.034078'), Decimal('-56.047239'))			三浦 春香	mikakomaeda@yahoo.com	B-		725-84-5557	04 May 2024	4	合同会社佐々木水産	710
melissaviana	(Decimal('88.802622'), Decimal('-29.316375'))			Alícia da Mata	thiago06@bol.com.br	O-	"Praça de Pires
Serra
07574913 Cardoso das Flores / MS"	10648957357	04/22/2022, 00:00:00	1202	Caldeira Fonseca e Filhos	577
bbates	(Decimal('55.5725125'), Decimal('8.334653'))		Restaurant manager, fast food	Meagan Johnson	craiggarner@gmail.com	A-	"004 Rice Brooks
East Garrett, PR 11435"	412-20-2551	04/10/2024, 00:00:00	899	White, Gonzalez and Miller	534
speriida	(Decimal('-65.323498'), Decimal('-49.456160'))			Marta Abatantuono-Rossetti	milanesialderano@libero.it	B+	"Canale Cabibbo, 485 Piano 5
57125, Livorno (LI)"	MSTVNS36E04H467X	2023/02/05	2075	Veltroni s.r.l.	692
shota92	(Decimal('36.606487'), Decimal('-52.487949'))			橋本 修平	kumiko64@gmail.com	B-	栃木県国分寺市富久町41丁目17番15号 押上コーポ905	141-46-8831	2023-11-06	1246	加藤銀行株式会社	614
kbrambilla	(Decimal('-77.9088685'), Decimal('-19.778362'))			Ricciotti Palazzo	yvisconti@gmail.com	O+	"Via Mocenigo, 189
11027, Moron (AO)"	GNNDLS63C01F468F	2022/03/21	832	Eco, Leblanc e Trombetta s.r.l.	581
hilmarogge	(Decimal('7.8168605'), Decimal('56.471409'))			Elizabeth Eberth-Jessel	gmosemann@aol.de	A+	"Petar-Börner-Gasse 69-86
02555 Neubrandenburg"	225-97-7317	2024-05-29	968	Stumpf Bolzmann AG	216
mituru38	(Decimal('56.0068645'), Decimal('72.295182'))			藤原 香織	suzukitaro@yahoo.com	O-	鳥取県三鷹市松浦町4丁目17番6号 シャルム戸塚町848	864-31-0502	2024-05-09	40	井上銀行合同会社	14
znakamura	(Decimal('-4.7000225'), Decimal('143.314866'))		農家	山口 学	uyamamoto@gmail.com	AB-	佐賀県日野市千塚11丁目11番14号 美原町クレスト063	788-34-7047	02/26/2025, 00:00:00	2006	藤井銀行株式会社	559
gabriella16	(Decimal('40.441257'), Decimal('111.573569'))			Fabrizia Pozzecco	albertoficino@tiscali.it	B-	"Canale Binaghi, 112
16036, Recco (GE)"	LBNDNL23C68G676K	02/11/2023, 00:00:00	572	Rienzo, Tommaseo e Iannotti SPA	183
brittanygrant			Advertising account executive	Mark Meyer	colemandustin@yahoo.com	B+	"4764 Erika Crossing
West Patrickton, AL 91722"	352-39-9499	12/22/2021, 00:00:00	367	Owens LLC	519
hartungulf	(Decimal('32.7397245'), Decimal('-44.663199'))			Ira Rädel-Mentzel	tgeisler@aol.de	O-	"Mitschkestraße 50
09121 Gerolzhofen"	193-33-4961	2019-10-01	1741	Plath AG & Co. OHG	82
emoreira	(Decimal('-27.3883265'), Decimal('-157.195379'))		Passador	Eduarda da Rosa	mariahmendes@gmail.com	A-	"Rua de Cavalcante, 55
Providencia
27299-169 Sá / SP"	45379108288	2022-09-03	1755	Novais	585
takumahashimoto	(Decimal('24.042972'), Decimal('141.780200'))			佐藤 修平	lmatsuda@yahoo.com	O-	高知県西東京市鍛冶ケ沢3丁目20番16号 シティ松が谷051	058-36-8982	2019/02/03	1385	有限会社山田保険	482
fedeledovara	(Decimal('57.633496'), Decimal('-54.877461'))		Estate manager/land agent	Giovanna Leblanc	armandomaffei@tim.it	A-	"Rotonda Fabia, 844 Appartamento 85
41031, Camposanto (MO)"	ZNZFLV27T63H713E	2025-03-19	780	Tosto, Vigorelli e Faggiani s.r.l.	411
edwardferguson	(Decimal('18.134948'), Decimal('67.528152'))			Cindy Rodgers	guyjohnson@gmail.com	A+	"36232 Lisa Village
Jessicaburgh, AL 99119"	428-25-1723	2019/03/25	931	Stein-Bradley	72
ryohei20	(Decimal('18.171574'), Decimal('108.553585'))		コピーライター	鈴木 桃子	kumiko21@hotmail.com	AB-		127-76-1327	05 Apr 2022	1425	鈴木保険合同会社	212
kelseysmith	(Decimal('-87.284928'), Decimal('-168.362314'))			Rachel Harris	martinezlauren@gmail.com	O+	"109 Matthews Loop
Sanchezhaven, MS 51644"	603-06-4745	2019/02/11	698	Durham, Griffith and Rodriguez	401
filippa63	(Decimal('48.7435465'), Decimal('-130.969669'))		Trade mark attorney	Jolanda Murialdo	nicolettapetrocelli@tele2.it	O+	"Stretto Mercedes, 63
90012, San Giovanni Li Greci (PA)"	PRTLCU64S12A581Y	2020-10-15	452	Migliaccio-Modigliani SPA	722
pklapp	(Decimal('-23.5604435'), Decimal('169.830679'))			Dipl.-Ing. Guntram Henck	ron49@web.de	A+	"Karl-Jürgen-Neuschäfer-Straße 236
30890 Altötting"	239-38-0791	2023-12-20	1298	Beer Eberth AG	241
yamashitashohei	(Decimal('-57.012140'), Decimal('-4.344871'))		作曲家	佐藤 淳	ryoheiishikawa@gmail.com	AB-		618-60-8949	2022/06/07	653	前田銀行株式会社	722
brennaludovica	(Decimal('-68.2256185'), Decimal('12.428037'))		Surveyor, planning and development	Antonello Versace	azegliofioravanti@virgilio.it	AB+		BLLCSN75T11C364Z	08 Sep 2020	980	Paruta-Draghi s.r.l.	167
rosaria53	(Decimal('-41.6466185'), Decimal('61.661316'))		Therapeutic radiographer	Antonia Berengario-Gabba	patrizio01@gmail.com	B+	"Stretto Mantegazza, 611
90041, Balestrate (PA)"	CRRGST61M68H189G	10 May 2023	1580	Antonetti-Filippelli Group	99
pascarelladonatella	(Decimal('53.6511645'), Decimal('113.989369'))			Marisa Omma	tcanova@gmail.com	B+		SBLPRS60H54G506I	09/12/2022, 00:00:00	1817	Riccati, Vianello e Zoppetto s.r.l.	489
ditschlerinarnold	(Decimal('-12.9223965'), Decimal('76.979696'))		Chemikant	Prof. Ottfried Junken	raedelamir@googlemail.com	O-	"Angelica-Bruder-Ring 7-6
26957 Bad Kreuznach"	161-88-6071	22 May 2020	428	Weinhage GmbH & Co. OHG	199
lucerolindsey	(Decimal('-32.5615235'), Decimal('86.789514'))			Kaitlyn Walton	larryreyes@yahoo.com	A+	"79611 Rivera Glen Suite 776
East Austinburgh, DC 77433"	051-87-3216	07/13/2025, 00:00:00	74	Vargas-Barry	90
ishikawahanako	(Decimal('-8.4264285'), Decimal('129.611130'))		バスガイド	中川 零	unakamura@gmail.com	O+	滋賀県西多摩郡日の出町無栗屋17丁目22番7号	790-58-6333	09/26/2021, 00:00:00	370	有限会社後藤情報	468
solismichael	(Decimal('70.528666'), Decimal('107.821804'))		Chief Technology Officer	Theodore Jackson	douglasmichael@gmail.com	AB-	"05321 Harrison Unions Apt. 928
Garciafurt, VT 90676"	161-15-3180	2024-10-01	368	Taylor, Wyatt and Tate	16
maria90	(Decimal('-82.6745875'), Decimal('-165.864079'))			Vincenza Malaparte-Pinamonte	ida34@tin.it	AB-	"Rotonda Carolina, 42
24067, Sarnico (BG)"	ZNIDRD63T56D574X	04/11/2020, 00:00:00	421	Argurio-Lattuada e figli	521
fusanigraziano	(Decimal('21.124340'), Decimal('97.378568'))			Mariano Flaiano	bbabbo@vodafone.it	O-	"Vicolo Giuseppina, 63
47900, Bellariva (RN)"	BSNFMM37E29H074N	2024-10-15	279	Beccheria-Giannuzzi Group	508
silvaalexandre	(Decimal('15.8312775'), Decimal('78.449733'))		Cartógrafo	Eloah Marques	felipe71@uol.com.br	A+		70326498583	2020-02-23	2007	Azevedo	541
sotochristopher	(Decimal('87.6931275'), Decimal('-18.958465'))			Tracy Kelly	william77@hotmail.com	AB+	"27126 Natasha Junctions Apt. 114
Port Jimmyview, TN 23142"	159-45-3541	26 Feb 2025	1367	Owens PLC	45
imargraf	(Decimal('30.4170385'), Decimal('46.410863'))			Britt Fischer	zniemeier@gmx.de	A+	"Möchlichenplatz 220
35433 Weißenfels"	538-91-8647	2021-01-04	1618	Beyer AG & Co. KG	725
maria-lizmoraes	(Decimal('-73.8723145'), Decimal('-39.484354'))			Henrique Rodrigues	machadolevi@hotmail.com	AB-		54326879173	08 Jun 2019	882	Ramos	682
dcrawford	(Decimal('83.027190'), Decimal('157.038400'))			Teresa York	gregorybonilla@gmail.com	A+	"21518 Salas Mountains Apt. 538
Lake Allen, IL 90159"	443-74-3116	2020-12-19	1373	Lowery-Tucker	508
lambertoabate	(Decimal('-1.7927325'), Decimal('-112.631715'))			Dante Tamborini	imeldapagnotto@alice.it	A+	"Rotonda Sylvia, 3
03033, Scaffa (FR)"	PDRGDU39P56E784U	05/24/2024, 00:00:00	1993	Capone, Santi e Carli SPA	277
vasconcelosdiogo	(Decimal('79.352054'), Decimal('-173.194776'))			Dra. Sara Ribeiro	rda-conceicao@uol.com.br	O+	"Estação Pires, 31
São Jorge 1ª Seção
99568910 Casa Grande da Prata / ES"	35492078674	12/01/2023, 00:00:00	752	Costela	530
annibale07	(Decimal('-19.291943'), Decimal('91.395984'))			Maurilio Novaro	fibonaccifabia@yahoo.com	B-	"Via Luciano, 38 Piano 1
28853, Druogno (VB)"	PLTGRG77A17H564W	2025-05-06	445	Cibin SPA	407
gaelaragao	(Decimal('-17.6899565'), Decimal('67.525652'))			Luigi Siqueira	hellena00@yahoo.com.br	B+		09748523683	2019-08-23	1298	Martins	505
hashimotomai	(Decimal('-14.326076'), Decimal('104.296713'))			田中 桃子	tsubasa22@gmail.com	A-	山梨県横浜市青葉区木立22丁目5番13号 パーク東上野945	764-83-4591	2024-05-25	1710	有限会社高橋食品	606
martino09	(Decimal('-82.275615'), Decimal('-40.690561'))		Cartographer	Venancio Germano	piovanigreca@gmail.com	AB+	"Stretto Chiara, 79 Appartamento 42
13018, Valduggia (VC)"	SGLRSN88R29H771X	2020/04/24	2086	Scialpi, Mercalli e Balla e figli	467
rose-marie26	(Decimal('59.033822'), Decimal('93.305217'))			Gitte Hahn-Langern	philomena45@hotmail.de	A-	"Helga-Herrmann-Straße 3-2
73388 Hildesheim"	447-21-6459	2020/03/16	667	Stroh Meister GmbH & Co. KG	488
rschacht	(Decimal('-62.9408295'), Decimal('114.930303'))			Ing. Alexandra Rädel	fritschklemens@gmail.com	A+		398-26-9326	2023-10-18	1655	Kroker	268
fwatanabe	(Decimal('29.395885'), Decimal('113.397662'))		薬剤師	高橋 香織	yoichi69@gmail.com	A-	愛媛県横浜市戸塚区細野31丁目26番17号	463-42-9200	06/30/2023, 00:00:00	1823	鈴木通信株式会社	206
attila87	(Decimal('68.5395965'), Decimal('71.667184'))			Ayten Fritsch	uetzold@gmail.com	B+	"Zenta-Trapp-Allee 17-95
45818 Groß-Gerau"	285-32-4015	25 Nov 2018	329	Naser GmbH	352
sakamototakuma	(Decimal('24.756425'), Decimal('154.340306'))			石川 篤司	shoheiyamashita@gmail.com	O-	岐阜県豊島区山中新田41丁目25番12号	340-35-8944	2025-01-29	100	合同会社佐藤通信	207
oroehricht	(Decimal('-1.9996965'), Decimal('-84.101392'))			Ingbert Jacobi Jäckel-Schmiedecke	metzaenne@hotmail.de	B-	"Nadin-Kallert-Ring 8529
05564 Gräfenhainichen"	121-30-0270	06/27/2023, 00:00:00	301	Flantz	27
asuka26	(Decimal('35.0816115'), Decimal('-136.435469'))			山本 篤司	dwatanabe@yahoo.com	B+	山形県長生郡白子町白金12丁目13番20号 パーク皇居外苑549	893-56-8612	09/15/2025, 00:00:00	1282	株式会社伊藤運輸	436
schleichesther	(Decimal('-73.6067675'), Decimal('-51.174797'))			Olaf Becker-Speer	elisabeth71@googlemail.com	O+	"Saban-Wernecke-Allee 7-5
46810 Freising"	275-42-2229	12/25/2023, 00:00:00	1852	Täsche GmbH & Co. KGaA	721
vittoria24	(Decimal('-20.8067975'), Decimal('-58.752476'))		Engineer, communications	Patrizio Falcone	pellegrino27@tele2.it	A+	"Viale Fredo, 9
37068, Isolalta (VR)"	MTAMRN89L07H331H	2024/03/27	2087	Bruno-Puccini Group	220
sheila45	(Decimal('-54.5229185'), Decimal('155.593418'))			Brandon Garcia	ocoleman@yahoo.com	AB-	"3223 Cruz Circle
Amychester, OH 08234"	480-02-4394	10/14/2020, 00:00:00	1035	Williams and Sons	204
daniela06	(Decimal('80.4536345'), Decimal('144.825720'))		Embalsamador	Yuri Lima	santosmaria-luiza@gmail.com	B+	"Colônia de Casa Grande
Boa União 1ª Seção
23058-914 Almeida / PE"	21076435807	2023/09/02	1202	Nogueira	524
celentanoramona	(Decimal('-40.2644615'), Decimal('46.756041'))			Piergiuseppe Pugliese	alonziachille@libero.it	B-	"Viale Cesarotti, 55 Appartamento 96
82025, Montefalcone Di Val Fortore (BN)"	BCCLDC37M12D808C	2020/06/08	1971	Ortese-Contrafatto s.r.l.	33
ishikawanaoki	(Decimal('-35.039725'), Decimal('94.063273'))			佐藤 直人	fujitayoichi@gmail.com	A-	滋賀県横浜市瀬谷区方京22丁目11番11号 外神田パレス206	184-63-0305	2025-05-09	2143	遠藤保険有限会社	89
lmajewski	(Decimal('-41.804206'), Decimal('90.442179'))			Maria Grimani-Zamorani	marianasabatini@outlook.com	O+		SLGDLS45C31G761K	2025/03/17	329	Bignami s.r.l.	458
kana48	(Decimal('-69.6875365'), Decimal('-75.427645'))			石川 拓真	shimizutaichi@gmail.com	O+	沖縄県川崎市多摩区麹町28丁目13番2号 クレスト白金台987	697-17-6188	03/31/2024, 00:00:00	316	池田電気株式会社	79
nfreitas	(Decimal('85.830447'), Decimal('119.117971'))			Apollo Duarte	mariana43@gmail.com	B+	"Vila Dias, 44
Barroca
47520682 Ramos de Goiás / TO"	93754128060	05 Mar 2023	549	Borges	615
ana-carolinaleao	(Decimal('-29.231463'), Decimal('-131.002260'))			Srta. Melissa Freitas	casa-grandeluiz-otavio@hotmail.com	O+	"Via Ramos, 591
São Bernardo
80484694 Montenegro Verde / TO"	60549273883	2019-10-13	324	Camargo Monteiro - ME	160
nakagawayui	(Decimal('84.309329'), Decimal('-152.071767'))			山田 くみ子	satomi80@gmail.com	A+	奈良県香取市高輪9丁目20番17号 パーク今戸406	385-26-4407	2023/05/05	1288	合同会社石川鉱業	463
hiroshi77	(Decimal('-4.763295'), Decimal('168.296507'))			斎藤 加奈	naokiito@yahoo.com	AB-	千葉県青梅市千束37丁目20番9号 神明内パレス301	626-45-7154	08/08/2022, 00:00:00	625	森情報有限会社	346
momokoendo	(Decimal('-63.030470'), Decimal('137.172539'))		裁判官	渡辺 千代	emiura@gmail.com	AB+	福井県四街道市湯宮29丁目20番17号 中三依コート626	182-19-6575	2020/01/13	956	有限会社鈴木農林	709
hanako99	(Decimal('52.413892'), Decimal('-36.393132'))		農家	坂本 あすか	ryamashita@gmail.com	B+	熊本県清瀬市皇居外苑23丁目22番12号 山中新田アーバン076	279-01-9759	16 May 2025	857	鈴木銀行合同会社	138
sanudodionigi	(Decimal('19.776005'), Decimal('-140.901662'))		Broadcast engineer	Morena Boccherini	ippazio56@libero.it	B+		LTRGBL13A09B984I	2022-05-23	564	Detti s.r.l.	402
jadearaujo	(Decimal('51.4715075'), Decimal('-118.751469'))			Anna Liz Novais	anthony-gabriel50@gmail.com	AB+		17953862409	2019/09/04	217	Nascimento	320
susanfranco	(Decimal('-52.545371'), Decimal('80.048999'))			Eric Sanders	kfleming@yahoo.com	B-	"088 Colin Ridges Apt. 652
Charlesport, ND 38544"	158-82-7407	04/19/2021, 00:00:00	370	Keller-Bautista	258
brayan70	(Decimal('-32.6459645'), Decimal('-9.090959'))		Avalista	Emilly Cirino	ryanleao@ig.com.br	B+	"Alameda Benício Casa Grande, 28
Bernadete
38984196 da Paz / AL"	47092153670	14 Jul 2025	2044	Machado S.A.	390
hbrugnaro	(Decimal('73.159804'), Decimal('-63.207697'))		Insurance risk surveyor	Sig.ra Isabella Turci	vittoriofanucci@libero.it	AB+	"Stretto Luciano, 829
09127, Cagliari (CA)"	GCCGSN34S44A424F	2022-04-19	1654	Sinisi e figli	214
psuzuki	(Decimal('43.7093835'), Decimal('47.274143'))		漫画家	高橋 香織	shota48@hotmail.com	B+	沖縄県調布市池之端38丁目8番12号 白金クレスト147	586-44-0872	2021/07/27	761	福田電気有限会社	179
mbuonauro	(Decimal('32.062219'), Decimal('-69.481037'))			Achille Donati	condoleogirolamo@live.com	A-	"Incrocio Greco, 258 Piano 8
53040, Cetona (SI)"	VRCVRC48A18F556J	04 Feb 2023	865	Argan, Mimun e Briccialdi Group	153
milan32	(Decimal('-2.206861'), Decimal('136.123684'))			Tibor Hettner-Kroker	ricardobruder@gmx.de	A+		882-29-4802	19 Jun 2025	14	Hertrampf Wagenknecht GmbH	513
mercedesrandolph	(Decimal('-67.7983515'), Decimal('9.305646'))			Morgan Sanders	mary11@hotmail.com	AB-	"6055 Morales Haven Apt. 108
North Kristaland, MA 04722"	138-02-3777	2023-01-18	848	Joyce, Berger and Woods	316
melissasantos	(Decimal('38.7975395'), Decimal('-4.885708'))			Chase Swanson	richardmartin@hotmail.com	O-	"83807 Mcknight Overpass
Lake Cherylberg, FL 07260"	385-73-0540	2020-05-05	1781	Goodman Ltd	36
anne82	(Decimal('8.2852385'), Decimal('-103.298674'))			Mr. Thomas Hernandez	melissa84@hotmail.com	O-	"1953 Karen Ridges
Jamesburgh, AZ 32806"	620-14-3246	10 May 2020	1730	Donovan, Brock and Joyce	283
